20:25:48,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:49,  cpu usage : 2.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:25:50,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:51,  cpu usage : 2.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:25:52,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:53,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:54,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:55,  cpu usage : 3.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:25:56,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:57,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:58,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:59,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:00,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:01,  cpu usage : 3.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:26:02,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:03,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:04,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:05,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:06,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:07,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:08,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:09,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:10,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:11,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:12,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:13,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:14,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:15,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:16,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:17,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:18,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:19,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:20,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:21,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:22,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:23,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:24,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:25,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:26,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:27,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:28,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:29,  cpu usage : 2.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:26:31,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:32,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:33,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:34,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:35,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:36,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:37,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:38,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:39,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:40,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:41,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:42,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:43,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:44,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:45,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:46,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:47,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:48,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:49,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:50,  cpu usage : 2.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:26:51,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:52,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:53,  cpu usage : 3.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:26:54,  cpu usage : 3.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:26:55,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:56,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:57,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:26:58,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:26:59,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:27:00,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:27:01,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:27:02,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:03,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:04,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:27:05,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:27:06,  cpu usage : 3.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:27:07,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:08,  cpu usage : 3.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:27:09,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:10,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:11,  cpu usage : 3.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:27:12,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:13,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:14,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:27:15,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:27:16,  cpu usage : 3.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:27:17,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:27:18,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:19,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:20,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:21,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:22,  cpu usage : 1.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:27:23,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:24,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:25,  cpu usage : 2.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:27:26,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:27,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:28,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:29,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:27:30,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:31,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:27:32,  cpu usage : 0.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:33,  cpu usage : 1.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:27:34,  cpu usage : 0.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:27:36,  cpu usage : 0.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:37,  cpu usage : 0.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:27:38,  cpu usage : 0.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
