 5072 mV	  30.16 mV	301.2 mA
 5032 mV	  38.24 mV	426.9 mA
 5072 mV	  30.44 mV	303.7 mA
 5072 mV	  29.98 mV	302.4 mA
 5068 mV	  31.11 mV	309.9 mA
 5048 mV	  35.10 mV	350.5 mA
 5068 mV	  30.14 mV	302.0 mA
 5068 mV	  31.02 mV	309.1 mA
 5068 mV	  30.81 mV	305.5 mA

